cell_line,pubmed_ids,num_ids
CVCL_E548,[],0
CVCL_E549,"[36835539, 36769052, 36559131, 34439845, 33336235, 32873726, 32851022, 32848052, 31600226, 31574363, 31269721, 30381971, 30365112, 30179605, 29803661, 29771714, 29477836, 29370236, 28912101, 28353187]",20
CVCL_VG99,"[25772757, 15735043, 7617765, 8178493, 6481764]",5
CVCL_B5B3,"[37276369, 37245340, 37166172, 37155012, 37140963, 37111765, 37089089, 37071156, 36997025, 36917693, 36736830, 36573995, 36565478, 36309631, 36295808, 36290576, 36205544, 36125615, 36113266, 36087752]",20
CVCL_E557,[],0
CVCL_VG31,"[36710992, 36200530, 35036572, 33969526, 33453083, 33165868, 32954502, 32197467, 32133675, 31157458, 29873307, 29577375, 28815590]",13
CVCL_VG32,[],0
CVCL_ZW87,"[36944412, 36710992, 36406681, 36200530, 35953822, 35429814, 35036572, 34757232, 34636125, 34127005, 34021540, 33969526, 33759343, 33453083, 33165868, 32954502, 32539763, 32463333, 32210615, 32197467]",20
CVCL_ZW88,"[36710992, 36200530, 35385726, 35036572, 33969526, 33453083, 33165868, 32954502, 32197467, 32133675, 31157458, 29873307, 29577375, 28815590, 27109637, 24117028, 21392948]",17
CVCL_ZW89,"[36710992, 36200530, 35036572, 33969526, 33453083, 33165868, 32954502, 32197467, 32133675, 31157458, 29873307, 29577375, 28815590, 27109637, 26946329, 26757638, 20830293]",17
CVCL_XB90,[],0
CVCL_A2TJ,"[36710992, 36200530, 35036572, 33969526, 33453083, 33165868, 32954502, 32197467, 32133675, 31157458, 30137675, 29873307, 29577375, 28815590, 24453253, 9565353, 7751161]",17
CVCL_A2UI,[],0
CVCL_A2UJ,[],0
CVCL_A2UK,[],0
CVCL_A2UL,[],0
CVCL_A2TK,"[36710992, 36200530, 35563320, 35036572, 34943871, 34768882, 33969526, 33805898, 33453083, 33165868, 32954502, 32575761, 32197467, 32133675, 31157458, 29873307, 29577375, 28815590]",18
CVCL_A2UM,"[36710992, 36200530, 35036572, 33969526, 33453083, 33165868, 32954502, 32197467, 32133675, 31157458, 29873307, 29577375, 28815590]",13
CVCL_A2UN,[],0
CVCL_A2UP,[],0
CVCL_A2UQ,[],0
CVCL_A2TL,[],0
CVCL_A2UR,[],0
CVCL_A2US,[],0
CVCL_A2UT,[],0
CVCL_A2TM,[9194855],1
CVCL_A2UU,[],0
CVCL_A2UV,[],0
CVCL_A2UW,[],0
CVCL_A2UX,[],0
CVCL_IP58,"[37142754, 36944062, 36769302, 36710992, 36500387, 36200530, 36142309, 35534193, 35182882, 35119445, 35062227, 35036572, 35011516, 34944018, 34641454, 34505878, 34472337, 34207832, 34076441, 34014802]",20
CVCL_IJ15,"[37268046, 37250895, 37242317, 37217509, 37214314, 37210549, 37210546, 37201672, 37198490, 37191470, 37189460, 37189417, 37187266, 37183219, 37181314, 37169842, 37156748, 37153618, 37142601, 37142597]",20
